date,open,high,low,close,volume,ticker,return,short_term_return_3,sma_10,sma_20,ema_50,volatility_10,open_sector,high_sector,low_sector,sector_close,volume_sector,return_sector,short_term_return_3_sector,sector_sma_10,sector_sma_20,ema_50_sector,sector_volatility_10,sector_return_1d,vix_level,pe_ratio,eps,revenue_growth,debt_to_equity,roe,used_fallback,news_sentiment,pct_pred_xgboost,pct_pred_lightgbm,pct_pred_catboost,pct_pred_ensemble,pct_pred,direction,confidence,label,price_1d,price_3d,price_5d
2025-05-13,210.43,213.4,209.0,212.93,51909332,AAPL,0.010152284263959421,0.07818117373031552,204.456,203.72250000000003,210.54848390684197,0.026961692498541526,228.52,233.38,228.26,232.62,6365028.0,0.021607378129117283,0.06770092256850413,218.036,208.87650000000002,212.20595816681026,0.01581479080201748,0.021607378129117283,18.22,,,,,,False,0.5220529411764706,2.56205,1.4574241795716396,-1.496458937695818,0.8410051153390191,0.8410051153390191,Up,0.85,Buy,214.7207521920914,218.34756418693064,222.03563605121252
2025-05-13,447.78,450.67,445.36,449.14,22872256,MSFT,-0.00026710590749234875,0.02503594495287209,433.407,406.1935,403.5605711799353,0.0242873901111971,228.52,233.38,228.26,232.62,6365028.0,0.021607378129117283,0.06770092256850413,218.036,208.87650000000002,212.20595816681026,0.01581479080201748,0.021607378129117283,18.22,,,,,,False,0.23165000000000002,1.5174421,0.6499332605711042,0.07831304789615952,0.7485628052226287,0.7485628052226287,Up,0.75,Buy,452.5020949833769,459.3019755214355,466.20403984128103
2025-05-13,158.79,160.57,156.16,159.53,41886714,GOOGL,0.0067524927426478865,0.03402903811252278,158.797,157.2635,161.7639884928012,0.029480398038147504,99.48,100.58,99.19,100.17,5383840.0,0.009778225806451601,0.025491400491400418,97.575,94.8275,95.9979683708594,0.008131565248453956,0.009778225806451601,18.22,,,,,,False,0.5179916666666666,0.1507313,-0.09300011298311858,0.3747854714945562,0.1441722179528838,0.1441722179528838,Up,0.55,Buy,159.75999793930023,160.22098907535693,160.68331041190345
2025-05-13,211.08,214.84,210.1,211.37,55280630,AMZN,0.013084739263803824,0.10042690545606003,192.982,186.40349999999998,193.71142618236968,0.028912178974498017,213.77,216.18,213.07,215.28,5716497.0,0.013225396526568511,0.06870532168387622,202.457,196.4245,200.65437679147172,0.017552018089527617,0.013225396526568511,18.22,,,,,,False,0.5838941176470588,-0.28517824,-1.4409026395731317,-1.8072152366454932,-1.1777653734441824,-1.1777653734441824,Down,0.25,Avoid,208.88055733015102,203.98928605334635,199.21255169184428
2025-05-13,645.54,660.92,642.83,656.03,18468077,META,0.02596062117823683,0.09702178893329538,598.758,560.135,583.6559796613494,0.030655238222244516,99.48,100.58,99.19,100.17,5383840.0,0.009778225806451601,0.025491400491400418,97.575,94.8275,95.9979683708594,0.008131565248453956,0.009778225806451601,18.22,,,,,,False,0.5211545454545454,0.018333014,-0.046634076849541954,-0.6366717192014866,-0.2216575939834128,-0.2216575939834128,Down,0.45,Avoid,654.5758596861906,651.6772415513749,648.7914591894755
2025-05-13,124.98,131.22,124.47,129.93,324734650,NVDA,0.056341463414634196,0.10701201329130106,116.64000000000001,110.91399999999999,114.58790823438852,0.024132898116160748,228.52,233.38,228.26,232.62,6365028.0,0.021607378129117283,0.06770092256850413,218.036,208.87650000000002,212.20595816681026,0.01581479080201748,0.021607378129117283,18.22,,,,,,False,0.6444714285714286,-0.6027132,-3.2744211616591112,-4.49049165417065,-2.7892086810339314,-2.7892086810339314,Down,0.1,Avoid,126.30598116073263,119.3583684538749,112.79291755662354
2025-05-13,320.0,337.59,316.8,334.07,135287018,TSLA,0.049280733714429203,0.1729162277929921,291.725,274.643,282.8469235491734,0.03470783539340679,213.77,216.18,213.07,215.28,5716497.0,0.013225396526568511,0.06870532168387622,202.457,196.4245,200.65437679147172,0.017552018089527617,0.013225396526568511,18.22,,,,,,False,0.32106250000000003,-3.3957887,-3.3964047197313048,-3.88805467360852,-3.560082687642002,-3.560082687642002,Down,0.05,Avoid,322.17683176539435,299.6456415402845,278.6901528644708
2025-05-13,261.03,263.67,260.39,263.01,8514396,JPM,0.0113824264564506,0.03763759024736646,252.483,245.04899999999998,245.24258966245839,0.012450323400988903,51.0,51.32,50.91,51.08,33527023.0,0.004128169844702212,0.0244685118331327,49.699,48.553999999999995,48.85401664196222,0.009419141451934161,0.004128169844702212,18.22,,,,,,False,0.38970000000000005,-3.1190562,-0.846985217914244,-0.9695035822937401,-1.6451816750103274,-1.6451816750103274,Down,0.2,Avoid,258.6830076765553,250.24141253043575,242.07529171581953
2025-05-13,43.42,44.49,43.42,44.28,42910714,BAC,0.02121771217712176,0.06442307692307692,41.504000000000005,40.04,40.88449042749243,0.01374072064978227,51.0,51.32,50.91,51.08,33527023.0,0.004128169844702212,0.0244685118331327,49.699,48.553999999999995,48.85401664196222,0.009419141451934161,0.004128169844702212,18.22,,,,,,False,0.307575,-3.5942729,-1.8909661419852144,-2.233269702768898,-2.572836232232694,-2.572836232232694,Down,0.15,Avoid,43.14074811636737,40.9494234785965,38.86940668498144
2025-05-13,355.52,358.87,354.58,356.14,5396786,V,0.0008149501194323339,0.013863979275201332,349.754,341.4985,340.20724290949755,0.006947832776836787,51.0,51.32,50.91,51.08,33527023.0,0.004128169844702212,0.0244685118331327,49.699,48.553999999999995,48.85401664196222,0.009419141451934161,0.004128169844702212,18.22,,,,,,False,0.9179,-1.5419183,-0.8357784078381026,0.5268713392455273,-0.616941782111018,-0.616941782111018,Down,0.4,Avoid,353.94282353718984,349.58905288213975,345.288836975643
2025-05-13,578.0,582.86,575.8,576.59,2369858,MA,-0.0029052172860427605,0.01669840598109751,563.114,544.4525,541.9995742986529,0.009703554939103317,51.0,51.32,50.91,51.08,33527023.0,0.004128169844702212,0.0244685118331327,49.699,48.553999999999995,48.85401664196222,0.009419141451934161,0.004128169844702212,18.22,,,,,,False,0.6249,-1.5944908,-1.7991202250330256,0.16029306363775983,-1.0777726426401781,-1.0777726426401781,Down,0.3,Avoid,570.3756707198011,558.1472193294404,546.1809372970711
2025-05-13,151.7,151.7,148.08,148.44,10313345,JNJ,-0.03697936940443747,-0.04638314274701272,154.612,155.09,156.01199178090548,0.014880540425927557,133.94,133.94,131.83,131.87,17770122.0,-0.030082377169755814,-0.016922618160131075,135.81199999999998,136.2135,139.23912178541923,0.019065215675346428,-0.030082377169755814,18.22,,,,,,False,0.8849,0.27538005,0.7951132864204213,1.3952439443967297,0.821912425330901,0.821912425330901,Up,0.8,Buy,149.66004680416117,152.13030598036437,154.64133876667876
2025-05-13,335.74,342.0,309.1,311.38,58359627,UNH,-0.17787458745874585,-0.1923745298923616,385.874,421.70349999999996,462.4610750113785,0.05492341440715595,133.94,133.94,131.83,131.87,17770122.0,-0.030082377169755814,-0.016922618160131075,135.81199999999998,136.2135,139.23912178541923,0.019065215675346428,-0.030082377169755814,18.22,,,,,,False,-0.014247826086956523,-0.550301,1.1857671793712394,2.080334632902398,0.9052669322988643,0.9052669322988643,Up,1.0,Buy,314.1988201737922,319.9132450667495,325.73159985937724
2025-05-13,22.9,22.98,22.49,22.87,39183519,PFE,-0.009527934170636576,-0.004353504571179667,23.329,22.969,23.87074000607697,0.02439821264437881,133.94,133.94,131.83,131.87,17770122.0,-0.030082377169755814,-0.016922618160131075,135.81199999999998,136.2135,139.23912178541923,0.019065215675346428,-0.030082377169755814,18.22,,,,,,False,0.45716666666666667,1.1481113,0.9179101029744148,0.5065230656546438,0.8575148373376159,0.8575148373376159,Up,0.9,Buy,23.066113643299115,23.463400461523143,23.867530080332283
2025-05-13,69.59,69.69,68.87,68.96,14238298,KO,-0.008197900186969753,-0.031052409723198116,71.149,71.8275,70.46638709808248,0.009640000059953597,80.76,80.88,79.65,79.94,13041864.0,-0.013451807972356011,-0.017694765298599147,81.209,81.1975,80.7448478006712,0.006291901490405389,-0.013451807972356011,18.22,,,,,,False,0.7309,0.49669933,0.4912569186889198,1.641926183208245,0.8766274783626943,0.8766274783626943,Up,0.95,Buy,69.56452230907891,70.78951160933204,72.0360722326666
2025-05-13,160.02,160.72,157.36,158.73,7691884,PG,-0.013486637663144951,0.0005042546485973798,159.638,162.2945,164.37736095681316,0.010540661599548149,80.76,80.88,79.65,79.94,13041864.0,-0.013451807972356011,-0.017694765298599147,81.209,81.1975,80.7448478006712,0.006291901490405389,-0.013451807972356011,18.22,,,,,,False,0.9974,0.6071686,0.3338211578106801,0.7492510553329327,0.5634136093359874,0.5634136093359874,Up,0.7,Buy,159.62430642209898,161.42806358697734,163.25220323609497
2025-05-13,96.5,97.32,95.23,95.88,19553479,WMT,-0.008992248062015595,-0.015908857641383722,97.69,95.983,93.66414186054614,0.009365868234609769,213.77,216.18,213.07,215.28,5716497.0,0.013225396526568511,0.06870532168387622,202.457,196.4245,200.65437679147172,0.017552018089527617,0.013225396526568511,18.22,,,,,,False,0.34216,0.31353858,0.35509221325261014,0.29090257933126146,0.3198444579055868,0.3198444579055868,Up,0.65,Buy,96.18666686623986,96.802946306864,97.4231743233283
2025-05-13,381.0,381.0,372.95,373.6,2701802,HD,-0.007939669136195704,0.023954393465986934,364.49300000000005,359.549,365.8373350988114,0.014805467312130104,213.77,216.18,213.07,215.28,5716497.0,0.013225396526568511,0.06870532168387622,202.457,196.4245,200.65437679147172,0.017552018089527617,0.013225396526568511,18.22,,,,,,False,0.23433333333333337,0.0926107,0.16274682953428843,-0.24978050362362503,0.001859009276421797,0.001859009276421797,Up,0.5,Buy,373.60694525865676,373.62083616331165,373.6347275844377
2025-05-13,200.3,205.73,199.67,203.42,13260455,BA,0.024631038130257243,0.061137193531559664,189.80700000000002,179.23000000000002,174.4831090680739,0.012246887607791801,140.75,142.18,140.59,141.28,9690598.0,0.006985032074126707,0.0388235294117647,135.397,131.065,131.6922436712393,0.010800046886653916,0.006985032074126707,18.22,,,,,,False,-0.01026875,-0.3191356,-0.6677270084887352,-1.5563760196059304,-0.8477462114611919,-0.8477462114611919,Down,0.35,Avoid,201.69551465664563,198.2902778132177,194.94253177705724
2025-05-13,109.32,110.51,109.02,109.46,13281536,XOM,0.002748259435690681,0.03196002639766182,106.221,106.5815,108.3375735243192,0.015770748534970055,85.0,86.45,84.66,85.77,14282531.0,0.014069519981082967,0.050974145325327846,81.924,81.60600000000001,84.49690772662353,0.01596211951697502,0.014069519981082967,18.22,,,,,,False,0.8565,0.49654543,0.3060299903875876,-0.1837567391237449,0.20627289508731686,0.20627289508731686,Up,0.6,Buy,109.68578631096258,110.13875710145578,110.593598531199
