date,ticker,error
2025-05-07,AAPL,Failed to fetch price for AAPL on 2025-05-10 08:11:07.062059
2025-05-07,MSFT,Failed to fetch price for MSFT on 2025-05-10 08:11:07.062059
2025-05-07,GOOGL,Failed to fetch price for GOOGL on 2025-05-10 08:11:07.062059
2025-05-07,AMZN,Failed to fetch price for AMZN on 2025-05-10 08:11:07.062059
2025-05-07,META,Failed to fetch price for META on 2025-05-10 08:11:07.062059
2025-05-07,NVDA,Failed to fetch price for NVDA on 2025-05-10 08:11:07.062059
2025-05-07,TSLA,Failed to fetch price for TSLA on 2025-05-10 08:11:07.062059
2025-05-07,JPM,Failed to fetch price for JPM on 2025-05-10 08:11:07.062059
2025-05-07,BAC,Failed to fetch price for BAC on 2025-05-10 08:11:07.062059
2025-05-07,V,Failed to fetch price for V on 2025-05-10 08:11:07.062059
2025-05-07,MA,Failed to fetch price for MA on 2025-05-10 08:11:07.062059
2025-05-07,JNJ,Failed to fetch price for JNJ on 2025-05-10 08:11:07.062059
2025-05-07,UNH,Failed to fetch price for UNH on 2025-05-10 08:11:07.062059
2025-05-07,PFE,Failed to fetch price for PFE on 2025-05-10 08:11:07.062059
2025-05-07,KO,Failed to fetch price for KO on 2025-05-10 08:11:07.062059
2025-05-07,PG,Failed to fetch price for PG on 2025-05-10 08:11:07.062059
2025-05-07,WMT,Failed to fetch price for WMT on 2025-05-10 08:11:07.062059
2025-05-07,HD,Failed to fetch price for HD on 2025-05-10 08:11:07.062059
2025-05-07,BA,Failed to fetch price for BA on 2025-05-10 08:11:07.062059
2025-05-07,XOM,Failed to fetch price for XOM on 2025-05-10 08:11:07.062059
2025-05-07,AAPL,Failed to fetch price for AAPL on 2025-05-10 00:00:00
2025-05-07,MSFT,Failed to fetch price for MSFT on 2025-05-10 00:00:00
2025-05-07,GOOGL,Failed to fetch price for GOOGL on 2025-05-10 00:00:00
2025-05-07,AMZN,Failed to fetch price for AMZN on 2025-05-10 00:00:00
2025-05-07,META,Failed to fetch price for META on 2025-05-10 00:00:00
2025-05-07,NVDA,Failed to fetch price for NVDA on 2025-05-10 00:00:00
2025-05-07,TSLA,Failed to fetch price for TSLA on 2025-05-10 00:00:00
2025-05-07,JPM,Failed to fetch price for JPM on 2025-05-10 00:00:00
2025-05-07,BAC,Failed to fetch price for BAC on 2025-05-10 00:00:00
2025-05-07,V,Failed to fetch price for V on 2025-05-10 00:00:00
2025-05-07,MA,Failed to fetch price for MA on 2025-05-10 00:00:00
2025-05-07,JNJ,Failed to fetch price for JNJ on 2025-05-10 00:00:00
2025-05-07,UNH,Failed to fetch price for UNH on 2025-05-10 00:00:00
2025-05-07,PFE,Failed to fetch price for PFE on 2025-05-10 00:00:00
2025-05-07,KO,Failed to fetch price for KO on 2025-05-10 00:00:00
2025-05-07,PG,Failed to fetch price for PG on 2025-05-10 00:00:00
2025-05-07,WMT,Failed to fetch price for WMT on 2025-05-10 00:00:00
2025-05-07,HD,Failed to fetch price for HD on 2025-05-10 00:00:00
2025-05-07,BA,Failed to fetch price for BA on 2025-05-10 00:00:00
2025-05-07,XOM,Failed to fetch price for XOM on 2025-05-10 00:00:00
2025-05-07,AAPL,Failed to fetch price for AAPL on 2025-05-10 00:00:00
2025-05-07,MSFT,Failed to fetch price for MSFT on 2025-05-10 00:00:00
2025-05-07,GOOGL,Failed to fetch price for GOOGL on 2025-05-10 00:00:00
2025-05-07,AMZN,Failed to fetch price for AMZN on 2025-05-10 00:00:00
2025-05-07,META,Failed to fetch price for META on 2025-05-10 00:00:00
2025-05-07,NVDA,Failed to fetch price for NVDA on 2025-05-10 00:00:00
2025-05-07,TSLA,Failed to fetch price for TSLA on 2025-05-10 00:00:00
2025-05-07,JPM,Failed to fetch price for JPM on 2025-05-10 00:00:00
2025-05-07,BAC,Failed to fetch price for BAC on 2025-05-10 00:00:00
2025-05-07,V,Failed to fetch price for V on 2025-05-10 00:00:00
2025-05-07,MA,Failed to fetch price for MA on 2025-05-10 00:00:00
2025-05-07,JNJ,Failed to fetch price for JNJ on 2025-05-10 00:00:00
2025-05-07,UNH,Failed to fetch price for UNH on 2025-05-10 00:00:00
2025-05-07,PFE,Failed to fetch price for PFE on 2025-05-10 00:00:00
2025-05-07,KO,Failed to fetch price for KO on 2025-05-10 00:00:00
2025-05-07,PG,Failed to fetch price for PG on 2025-05-10 00:00:00
2025-05-07,WMT,Failed to fetch price for WMT on 2025-05-10 00:00:00
2025-05-07,HD,Failed to fetch price for HD on 2025-05-10 00:00:00
2025-05-07,BA,Failed to fetch price for BA on 2025-05-10 00:00:00
2025-05-07,XOM,Failed to fetch price for XOM on 2025-05-10 00:00:00
2025-05-07,AAPL,Failed to fetch price for AAPL on 2025-05-10 00:00:00
2025-05-07,MSFT,Failed to fetch price for MSFT on 2025-05-10 00:00:00
2025-05-07,GOOGL,Failed to fetch price for GOOGL on 2025-05-10 00:00:00
2025-05-07,AMZN,Failed to fetch price for AMZN on 2025-05-10 00:00:00
2025-05-07,META,Failed to fetch price for META on 2025-05-10 00:00:00
2025-05-07,NVDA,Failed to fetch price for NVDA on 2025-05-10 00:00:00
2025-05-07,TSLA,Failed to fetch price for TSLA on 2025-05-10 00:00:00
2025-05-07,JPM,Failed to fetch price for JPM on 2025-05-10 00:00:00
2025-05-07,BAC,Failed to fetch price for BAC on 2025-05-10 00:00:00
2025-05-07,V,Failed to fetch price for V on 2025-05-10 00:00:00
2025-05-07,MA,Failed to fetch price for MA on 2025-05-10 00:00:00
2025-05-07,JNJ,Failed to fetch price for JNJ on 2025-05-10 00:00:00
2025-05-07,UNH,Failed to fetch price for UNH on 2025-05-10 00:00:00
2025-05-07,PFE,Failed to fetch price for PFE on 2025-05-10 00:00:00
2025-05-07,KO,Failed to fetch price for KO on 2025-05-10 00:00:00
2025-05-07,PG,Failed to fetch price for PG on 2025-05-10 00:00:00
2025-05-07,WMT,Failed to fetch price for WMT on 2025-05-10 00:00:00
2025-05-07,HD,Failed to fetch price for HD on 2025-05-10 00:00:00
2025-05-07,BA,Failed to fetch price for BA on 2025-05-10 00:00:00
2025-05-07,XOM,Failed to fetch price for XOM on 2025-05-10 00:00:00
2025-05-07,AAPL,Failed to fetch price for AAPL on 2025-05-10 00:00:00
2025-05-07,MSFT,Failed to fetch price for MSFT on 2025-05-10 00:00:00
2025-05-07,GOOGL,Failed to fetch price for GOOGL on 2025-05-10 00:00:00
2025-05-07,AMZN,Failed to fetch price for AMZN on 2025-05-10 00:00:00
2025-05-07,META,Failed to fetch price for META on 2025-05-10 00:00:00
2025-05-07,NVDA,Failed to fetch price for NVDA on 2025-05-10 00:00:00
2025-05-07,TSLA,Failed to fetch price for TSLA on 2025-05-10 00:00:00
2025-05-07,JPM,Failed to fetch price for JPM on 2025-05-10 00:00:00
2025-05-07,BAC,Failed to fetch price for BAC on 2025-05-10 00:00:00
2025-05-07,V,Failed to fetch price for V on 2025-05-10 00:00:00
2025-05-07,MA,Failed to fetch price for MA on 2025-05-10 00:00:00
2025-05-07,JNJ,Failed to fetch price for JNJ on 2025-05-10 00:00:00
2025-05-07,UNH,Failed to fetch price for UNH on 2025-05-10 00:00:00
2025-05-07,PFE,Failed to fetch price for PFE on 2025-05-10 00:00:00
2025-05-07,KO,Failed to fetch price for KO on 2025-05-10 00:00:00
2025-05-07,PG,Failed to fetch price for PG on 2025-05-10 00:00:00
2025-05-07,WMT,Failed to fetch price for WMT on 2025-05-10 00:00:00
2025-05-07,HD,Failed to fetch price for HD on 2025-05-10 00:00:00
2025-05-07,BA,Failed to fetch price for BA on 2025-05-10 00:00:00
2025-05-07,XOM,Failed to fetch price for XOM on 2025-05-10 00:00:00
2025-05-07,AAPL,Failed to fetch price for AAPL on 2025-05-10 00:00:00
2025-05-07,MSFT,Failed to fetch price for MSFT on 2025-05-10 00:00:00
2025-05-07,GOOGL,Failed to fetch price for GOOGL on 2025-05-10 00:00:00
2025-05-07,AMZN,Failed to fetch price for AMZN on 2025-05-10 00:00:00
2025-05-07,META,Failed to fetch price for META on 2025-05-10 00:00:00
2025-05-07,NVDA,Failed to fetch price for NVDA on 2025-05-10 00:00:00
2025-05-07,TSLA,Failed to fetch price for TSLA on 2025-05-10 00:00:00
2025-05-07,JPM,Failed to fetch price for JPM on 2025-05-10 00:00:00
2025-05-07,BAC,Failed to fetch price for BAC on 2025-05-10 00:00:00
2025-05-07,V,Failed to fetch price for V on 2025-05-10 00:00:00
2025-05-07,MA,Failed to fetch price for MA on 2025-05-10 00:00:00
2025-05-07,JNJ,Failed to fetch price for JNJ on 2025-05-10 00:00:00
2025-05-07,UNH,Failed to fetch price for UNH on 2025-05-10 00:00:00
2025-05-07,PFE,Failed to fetch price for PFE on 2025-05-10 00:00:00
2025-05-07,KO,Failed to fetch price for KO on 2025-05-10 00:00:00
2025-05-07,PG,Failed to fetch price for PG on 2025-05-10 00:00:00
2025-05-07,WMT,Failed to fetch price for WMT on 2025-05-10 00:00:00
2025-05-07,HD,Failed to fetch price for HD on 2025-05-10 00:00:00
2025-05-07,BA,Failed to fetch price for BA on 2025-05-10 00:00:00
2025-05-07,XOM,Failed to fetch price for XOM on 2025-05-10 00:00:00
2025-05-07,AAPL,Failed to fetch price for AAPL on 2025-05-12 00:00:00
2025-05-07,MSFT,Failed to fetch price for MSFT on 2025-05-12 00:00:00
2025-05-07,GOOGL,Failed to fetch price for GOOGL on 2025-05-12 00:00:00
2025-05-07,AMZN,Failed to fetch price for AMZN on 2025-05-12 00:00:00
2025-05-07,META,Failed to fetch price for META on 2025-05-12 00:00:00
2025-05-07,NVDA,Failed to fetch price for NVDA on 2025-05-12 00:00:00
2025-05-07,TSLA,Failed to fetch price for TSLA on 2025-05-12 00:00:00
2025-05-07,JPM,Failed to fetch price for JPM on 2025-05-12 00:00:00
2025-05-07,BAC,Failed to fetch price for BAC on 2025-05-12 00:00:00
2025-05-07,V,Failed to fetch price for V on 2025-05-12 00:00:00
2025-05-07,MA,Failed to fetch price for MA on 2025-05-12 00:00:00
2025-05-07,JNJ,Failed to fetch price for JNJ on 2025-05-12 00:00:00
2025-05-07,UNH,Failed to fetch price for UNH on 2025-05-12 00:00:00
2025-05-07,PFE,Failed to fetch price for PFE on 2025-05-12 00:00:00
2025-05-07,KO,Failed to fetch price for KO on 2025-05-12 00:00:00
2025-05-07,PG,Failed to fetch price for PG on 2025-05-12 00:00:00
2025-05-07,WMT,Failed to fetch price for WMT on 2025-05-12 00:00:00
2025-05-07,HD,Failed to fetch price for HD on 2025-05-12 00:00:00
2025-05-07,BA,Failed to fetch price for BA on 2025-05-12 00:00:00
2025-05-07,XOM,Failed to fetch price for XOM on 2025-05-12 00:00:00
